work_dedication,salary_comparison_last_semester,profile_level_study,profile_gender,profile_experience_range,list_of_normalized_languages,usd_monthly_gross_salary
part-time,4,,M,10+,"['c', 'css', 'html', 'ruby', 'crystal']",1143.6849529183028
part-time,3,,M,10+,['php'],721.2083793984218
part-time,4,,F,0-1,"['css', 'html', 'javascript', 'typescript']",280.20281346498416
part-time,2,Terciario,F,0-1,"['.net', 'c#', 'css', 'html', 'javascript', 'sql']",228.73699058366054
part-time,2,,F,10+,"['css', 'html', 'javascript', 'typescript']",914.9479623346422
part-time,2,,M,1-2,"['css', 'html', 'javascript', 'php']",304.9826541115474
part-time,3,Universitario,M,3-5,"['css', 'html', 'python', 'typescript']",365.97918493385686
part-time,1,Universitario,M,1-2,['python'],167.74045976135108
part-time,2,Posgrado/Especialización,F,1-2,"['c++', 'html', 'java', 'javascript', 'php', 'python', 'r', 'sql']",352.25496549883724
part-time,1,,M,6-10,"['c#', 'php', 'python', 'sql', 'typescript']",609.9653082230948
part-time,1,,M,10+,['sql'],381.22831763943424
part-time,3,Maestría,M,6-10,"['bash/shell', 'sql']",733.3041058289809
part-time,1,,M,3-5,"['bash/shell', 'c']",259.2352559948153
part-time,3,,M,6-10,['python'],320.23178681712477
part-time,2,,M,0-1,"['javascript', 'sql']",457.4739811673211
part-time,2,Terciario,M,0-1,"['java', 'python']",209.67557470168884
part-time,1,Universitario,M,1-2,"['javascript', 'pl/sql']",214.3418093095955
part-time,1,,F,1-2,"['html', 'java', 'javascript', 'sql']",255.42297281842096
part-time,1,Posgrado/Especialización,F,10+,"['arduino', 'bash/shell', 'c', 'c++', 'python', 'r']",152.4913270557737
part-time,2,Universitario,M,0-1,"['python', 'r', 'sql']",514.6582288132363
part-time,3,Universitario,M,3-5,"['bash/shell', 'css', 'html', 'javascript', 'python', 'sql']",259.2352559948153
part-time,4,Universitario,M,0-1,['javascript'],438.4125652853494
part-time,1,Universitario,M,10+,"['javascript', 'php', 'vba']",353.57458732034615
part-time,4,Universitario,M,10+,"['bash/shell', 'python', 'sql']",3049.826541115474
part-time,3,Universitario,M,0-1,"['html', 'java', 'sql']",327.85635316991346
part-time,2,Terciario,M,6-10,"['bash/shell', 'html', 'javascript', 'php', 'python', 'sql']",800.579467042812
part-time,3,Universitario,M,3-5,"['javascript', 'typescript']",537.5319278716023
part-time,1,Terciario,M,1-2,"['php', 'python']",663.3372726926156
part-time,2,,M,3-5,"['java', 'python', 'sql']",400.289733521406
part-time,4,,M,0-1,"['bash/shell', 'html', 'python']",190.61415881971712
part-time,2,Terciario,M,3-5,"['css', 'html', 'javascript', 'php', 'typescript']",630.9942053295719
part-time,4,Secundario,M,1-2,['typescript'],514.6582288132363
part-time,1,,M,0-1,"['css', 'html', 'java', 'javascript', 'python', 'sql', 'vba']",815.8285997483893
part-time,4,,M,1-2,"['.net', 'c#', 'css', 'html', 'javascript', 'sql', 'vba']",186.80187564332277
part-time,3,,M,0-1,['java'],609.4773359765163
part-time,3,,M,0-1,"['.net', 'c#', 'css', 'html', 'javascript', 'sql']",385.0406008158286
part-time,3,Maestría,M,10+,"['bash/shell', 'css', 'dart', 'html', 'javascript', 'matlab', 'python', 'r', 'scala', 'sql', 'typescript']",1753.6502611413976
part-time,3,Universitario,M,3-5,"['groovy', 'html', 'java', 'javascript', 'sql']",2173.0014105447754
part-time,2,Universitario,M,0-1,['bash/shell'],192.5203004079143
part-time,2,Universitario,M,0-1,"['html', 'python']",282.1089550531814
part-time,3,Secundario,M,10+,"['.net', 'arduino', 'bash/shell', 'c#', 'html', 'javascript', 'sql']",2668.59822347604
part-time,3,Universitario,M,3-5,"['css', 'html', 'javascript', 'php', 'sql']",343.10548587549084
part-time,1,Universitario,M,0-1,"['bash/shell', 'css', 'html', 'javascript', 'python', 'ruby']",304.9826541115474
part-time,2,Universitario,X,0-1,"['bash/shell', 'go', 'ruby']",282.2080744157676
part-time,2,Universitario,F,1-2,"['css', 'html', 'javascript']",129.61762799740765
part-time,3,,F,3-5,"['python', 'sql']",914.9479623346422
part-time,3,,F,10+,['html'],238.64892684228585
part-time,2,Universitario,F,3-5,"['css', 'html']",480.34768022568716
part-time,2,Maestría,X,10+,['sql'],304.9826541115474
part-time,3,Secundario,M,6-10,"['.net', 'bash/shell', 'c#', 'javascript', 'sql', 'typescript']",547.302809652701
part-time,2,,M,1-2,"['delphi', 'html', 'javascript', 'python']",724.3338035149251
part-time,2,,F,1-2,"['c', 'c#', 'python', 'r', 'sql']",495.59681293126454
part-time,2,,F,3-5,['sql'],410.446875833937
part-time,1,Universitario,M,10+,['.net'],914.9479623346422
part-time,2,,F,10+,['java'],304.9826541115474
part-time,2,Terciario,M,6-10,['bash/shell'],400.289733521406
part-time,3,Universitario,M,0-1,"['bash/shell', 'php', 'python', 'sql']",796.6756890701841
part-time,2,,M,0-1,"['html', 'php', 'python']",369.79146811025123
part-time,2,,M,1-2,"['css', 'html', 'javascript', 'php', 'sql']",480.34768022568716
part-time,2,,M,1-2,"['.net', 'javascript', 'typescript']",400.289733521406
part-time,2,,F,1-2,['sql'],282.1089550531814
part-time,2,,M,6-10,"['html', 'php']",320.23178681712477
full-time,2,Universitario,M,6-10,['python'],1143.6849529183028
