work_dedication,salary_comparison_last_semester,profile_level_study,profile_gender,profile_experience_range,list_of_normalized_languages,usd_monthly_gross_salary
full-time,3,Universitario,M,1-2,"['.net', 'c#', 'sql']",634.7400785330335
full-time,3,Universitario,M,3-5,"['python', 'sql']",800.579467042812
full-time,2,Universitario,M,3-5,"['bash/shell', 'groovy', 'python']",2390.301551599253
full-time,3,Universitario,M,6-10,"['bash/shell', 'python']",1658.343181731539
full-time,4,,M,10+,"['css', 'html', 'javascript', 'sql']",2695.2842057108
full-time,2,Universitario,M,1-2,['python'],2268.308489954634
full-time,3,Terciario,M,3-5,"['bash/shell', 'vba']",1125.812511913385
full-time,2,,M,10+,"['bash/shell', 'html', 'php']",1067.439289390416
full-time,3,,M,10+,"['bash/shell', 'c#', 'java', 'javascript', 'python', 'sql']",1883.2678891388052
full-time,3,Terciario,M,6-10,['bash/shell'],1065.6017688993938
full-time,1,,M,1-2,"['bash/shell', 'python']",1109.3744043307536
full-time,3,,M,3-5,"['html', 'java', 'javascript', 'php', 'sql']",914.9479623346422
full-time,1,Universitario,M,6-10,"['.net', 'c#']",552.7810605771797
full-time,4,,M,1-2,['python'],3812.2831763943427
full-time,2,Universitario,M,6-10,"['.net', 'c#', 'sql']",674.7741222217986
full-time,3,Universitario,M,0-1,"['.net', 'bash/shell', 'c#']",474.6483168769776
full-time,2,Universitario,M,10+,['java'],1524.913270557737
full-time,1,,M,1-2,['sql'],495.59681293126454
full-time,2,,M,3-5,"['.net', 'c#', 'javascript', 'sql', 'typescript', 'vba']",550.8749189889825
full-time,3,Universitario,M,10+,['python'],1524.913270557737
full-time,3,Universitario,M,10+,"['.net', 'smalltalk', 'sql']",1446.761465441653
full-time,2,Terciario,M,1-2,"['javascript', 'python', 'sql']",362.16690175746254
full-time,4,Universitario,M,0-1,"['css', 'html', 'javascript', 'sql', 'typescript']",644.2758568106439
full-time,2,Universitario,M,6-10,"['javascript', 'python']",1189.4323510350348
full-time,2,Terciario,M,6-10,['go'],1327.4598757195683
full-time,3,,M,10+,"['.net', 'c#', 'css', 'javascript', 'sql', 'typescript']",3431.0548587549083
full-time,2,Doctorado,M,0-1,"['c#', 'python', 'sql']",735.7706530441081
full-time,4,Terciario,M,0-1,"['.net', 'sql']",762.4566352788685
full-time,2,,M,1-2,"['java', 'kotlin']",762.4566352788685
full-time,1,Universitario,M,10+,"['bash/shell', 'c', 'c++', 'python', 'sql']",789.1426175136289
full-time,2,,M,3-5,"['css', 'html', 'javascript', 'php', 'python']",914.9479623346422
full-time,2,Universitario,M,6-10,"['.net', 'bash/shell']",2249.247074072662
full-time,4,Universitario,M,1-2,['swift'],1143.6849529183028
full-time,3,Universitario,M,6-10,['sql'],1380.046509854752
full-time,3,,M,6-10,['bash/shell'],1319.0499790324425
full-time,4,Universitario,M,6-10,"['bash/shell', 'go', 'javascript', 'python', 'ruby']",2859.212382295757
full-time,3,,M,3-5,"['go', 'java']",884.6060005337197
full-time,2,,M,3-5,"['.net', 'c#', 'java', 'sql']",1143.6849529183028
full-time,2,,M,10+,"['bash/shell', 'groovy']",1334.29911173802
full-time,3,Universitario,M,10+,"['bash/shell', 'javascript', 'python']",2096.7557470168886
full-time,2,,M,3-5,"['c#', 'python']",628.6454957874271
full-time,3,Universitario,M,6-10,"['go', 'java']",2184.438260073958
full-time,3,Universitario,M,3-5,"['bash/shell', 'python', 'sql']",1505.8518546757653
full-time,3,Universitario,M,10+,"['python', 'sql']",1906.1415881971714
full-time,3,Universitario,M,3-5,"['css', 'html', 'javascript', 'typescript']",1658.343181731539
full-time,2,,M,10+,"['.net', 'c++', 'c#', 'html', 'typescript', 'vba']",1372.4219435019634
full-time,3,,M,10+,['sql'],880.6374137470931
full-time,2,,M,1-2,"['c++', 'html', 'python', 'sql']",861.5759978651214
full-time,3,Universitario,M,6-10,"['.net', 'c#', 'css', 'html', 'javascript', 'sql', 'typescript']",1372.4219435019634
full-time,1,,M,1-2,['python'],1067.816705424879
full-time,3,Terciario,M,10+,"['bash/shell', 'html', 'java', 'javascript', 'python', 'scala', 'sql', 'typescript']",2630.4753917120966
full-time,2,Universitario,M,3-5,"['bash/shell', 'go', 'groovy', 'java', 'sql']",1639.2817658495674
full-time,1,Terciario,M,1-2,['javascript'],545.1564942243909
full-time,4,Universitario,M,3-5,"['java', 'javascript']",2477.9840646563225
full-time,3,Universitario,M,10+,"['css', 'html', 'javascript', 'python', 'scala', 'sql', 'typescript']",4955.968129312645
full-time,2,,M,3-5,"['css', 'html', 'javascript']",1143.6849529183028
full-time,2,Universitario,M,3-5,['go'],1299.9885631504708
full-time,2,,M,10+,"['java', 'sql']",1219.9306164461896
full-time,3,Universitario,M,1-2,"['c#', 'vba']",648.0881399870382
full-time,4,,M,0-1,['kotlin'],762.4566352788685
full-time,2,,M,1-2,"['python', 'sql']",648.0881399870382
full-time,2,Universitario,M,6-10,"['.net', 'c#', 'css', 'html', 'sql']",1372.4219435019634
full-time,3,,M,3-5,['sql'],1181.8077846822462
full-time,2,,M,6-10,"['python', 'sql']",2668.59822347604
full-time,3,Universitario,M,6-10,['python'],3735.9643932751324
full-time,3,,M,10+,['ruby'],3202.317868171248
full-time,2,,M,10+,"['.net', 'c#', 'css', 'html', 'javascript', 'sql']",1200.8692005642179
full-time,3,Universitario,M,10+,['python'],2306.4313217185772
full-time,2,,M,3-5,"['html', 'python', 'sql']",876.8251305706988
full-time,3,Universitario,M,1-2,"['css', 'groovy', 'javascript', 'sql', 'typescript']",1155.1218024474858
full-time,2,Universitario,M,1-2,"['css', 'elixir', 'html']",320.23178681712477
full-time,4,Universitario,M,10+,"['css', 'html', 'javascript', 'php']",1524.913270557737
full-time,3,,M,3-5,"['.net', 'html', 'python']",724.3338035149251
full-time,4,,M,1-2,"['html', 'javascript']",1258.053448210133
full-time,3,,M,6-10,"['css', 'html', 'java', 'javascript', 'python', 'sql']",2283.557622660211
full-time,4,Doctorado,M,1-2,['python'],2310.2436048949717
full-time,4,Universitario,M,10+,"['javascript', 'typescript']",2518.4705119896307
full-time,3,,M,6-10,"['bash/shell', 'css', 'html', 'javascript', 'typescript']",964.732568335176
full-time,2,,M,3-5,"['html', 'javascript']",1105.5621211543594
full-time,2,,M,10+,['bash/shell'],937.8216613930083
full-time,2,Maestría,M,10+,"['css', 'go', 'html', 'java', 'javascript', 'php', 'python', 'sql', 'typescript']",762.4566352788685
full-time,2,Universitario,M,1-2,"['.net', 'c#', 'css', 'html', 'javascript', 'sql']",466.4862185963173
full-time,3,Universitario,M,6-10,"['c#', 'css', 'html', 'javascript', 'php', 'python', 'sql']",884.4496969234875
full-time,3,Universitario,M,6-10,"['go', 'javascript', 'python']",1677.4045976135108
full-time,2,,M,1-2,"['python', 'sql']",457.4739811673211
full-time,2,Universitario,M,6-10,"['bash/shell', 'c++', 'python', 'sql', 'vba']",1010.2550417445008
full-time,3,Universitario,M,1-2,"['css', 'html', 'javascript', 'typescript']",895.8865464526705
full-time,3,,M,3-5,"['java', 'typescript']",1080.782280507796
full-time,3,Terciario,M,1-2,"['html', 'javascript']",648.0881399870382
full-time,3,,M,10+,['cobol'],1829.8959246692843
full-time,3,Universitario,M,3-5,"['.net', 'css', 'javascript', 'sql']",1009.1113567915825
full-time,4,Universitario,M,3-5,"['java', 'javascript', 'sql']",5253.326217071404
full-time,2,Universitario,M,3-5,"['css', 'html', 'javascript']",1143.6849529183028
full-time,3,,M,6-10,['javascript'],1136.0603865655141
full-time,2,,M,1-2,"['c', 'c++', 'javascript', 'python', 'ruby', 'sql', 'typescript']",1334.29911173802
full-time,4,Universitario,M,0-1,"['css', 'go', 'html', 'java', 'javascript', 'sql', 'typescript']",800.579467042812
full-time,2,,M,6-10,"['css', 'html', 'javascript', 'python']",3240.4406999351913
full-time,3,,M,10+,"['bash/shell', 'css', 'html', 'sql']",876.8251305706988
full-time,2,Terciario,M,6-10,"['.net', 'c#', 'html', 'sql']",1143.6849529183028
full-time,2,,M,10+,"['css', 'html', 'java', 'javascript', 'php', 'sql', 'typescript']",1334.29911173802
full-time,1,Terciario,M,10+,"['css', 'html', 'javascript']",564.2179101063628
full-time,3,,M,10+,"['bash/shell', 'html', 'perl', 'php']",1143.6849529183028
full-time,3,,M,10+,"['html', 'javascript', 'typescript']",2935.4580458236437
full-time,3,Universitario,M,3-5,"['bash/shell', 'html', 'javascript', 'python', 'sql']",1410.5447752659068
full-time,2,,M,3-5,['python'],743.3952193968968
full-time,3,,M,10+,"['css', 'html', 'javascript']",953.0707940985857
full-time,1,Universitario,M,0-1,"['.net', 'c#', 'css', 'html', 'javascript', 'sql', 'typescript']",337.3870611108993
full-time,3,,M,3-5,"['html', 'javascript', 'typescript']",1696.4660134954825
full-time,3,,M,10+,"['.net', 'python']",2706.7210552399833
full-time,3,Terciario,M,1-2,"['javascript', 'python', 'typescript']",975.9444931569517
full-time,3,,M,10+,"['java', 'python']",1906.1415881971714
full-time,1,Universitario,M,3-5,"['html', 'python']",446.0371316381381
full-time,3,,M,1-2,"['java', 'kotlin', 'ruby', 'scala', 'sql']",1753.6502611413976
full-time,3,,M,10+,"['.net', 'abap', 'bash/shell', 'c#', 'cobol', 'html', 'java', 'javascript', 'kotlin', 'php', 'python', 'sql', 'vba']",1326.674545385231
full-time,4,Universitario,M,3-5,"['groovy', 'java', 'php']",6099.653082230948
full-time,4,,M,3-5,"['html', 'javascript', 'typescript']",743.3952193968968
full-time,3,Universitario,M,10+,"['bash/shell', 'java', 'javascript', 'smalltalk']",2333.117303953338
full-time,2,Universitario,M,0-1,"['java', 'javascript', 'typescript']",324.0440699935191
full-time,2,,M,1-2,"['css', 'html', 'javascript', 'php']",602.3407418703061
full-time,2,Universitario,M,10+,"['bash/shell', 'html', 'php', 'python', 'r']",632.3830963363959
full-time,2,,M,10+,"['.net', 'java', 'javascript', 'php', 'sql', 'vba']",773.5122564904121
full-time,1,Universitario,M,10+,"['css', 'go', 'html', 'javascript', 'kotlin', 'php', 'python', 'sql']",792.9549006900232
full-time,2,Universitario,M,3-5,"['css', 'html', 'javascript', 'php', 'sql']",613.7775913994891
full-time,2,Universitario,M,3-5,"['go', 'java', 'javascript', 'kotlin', 'python', 'sql', 'typescript']",1350.6919293965157
full-time,3,Terciario,M,1-2,"['bash/shell', 'java', 'javascript', 'typescript']",1334.29911173802
full-time,4,Universitario,M,3-5,"['java', 'javascript', 'php', 'sql', 'typescript']",1284.7394304448935
full-time,2,,M,1-2,"['html', 'javascript']",648.0881399870382
full-time,4,,M,1-2,"['python', 'sql']",2096.7557470168886
full-time,3,,M,3-5,"['bash/shell', 'python', 'sql']",1715.5274293774542
full-time,2,Universitario,M,1-2,"['css', 'groovy', 'javascript', 'sql']",629.0267241050665
full-time,2,Universitario,M,3-5,"['css', 'html', 'java', 'javascript', 'sql', 'typescript']",777.7057679844459
full-time,3,Universitario,M,3-5,['java'],2153.9399946628037
full-time,3,Universitario,M,10+,"['python', 'sql']",2439.861232892379
full-time,4,,M,6-10,"['bash/shell', 'python']",4498.494148145324
full-time,4,,M,10+,['python'],3736.0375128664555
full-time,3,,M,10+,"['bash/shell', 'sql']",648.0881399870382
full-time,3,Terciario,M,6-10,"['bash/shell', 'javascript', 'python']",1715.5274293774542
full-time,3,Universitario,M,6-10,"['java', 'sql']",1410.5447752659068
full-time,2,,M,1-2,"['.net', 'javascript']",400.289733521406
full-time,3,Universitario,M,6-10,"['bash/shell', 'python']",1334.29911173802
full-time,3,,M,6-10,"['python', 'sql']",1563.0361023216803
full-time,4,Posgrado/Especialización,M,10+,"['java', 'javascript']",3812.2831763943427
full-time,2,,M,10+,"['.net', 'c#', 'python', 'sql']",2096.7557470168886
full-time,3,,M,10+,"['html', 'java', 'javascript', 'python', 'sql']",1829.8959246692843
full-time,4,Universitario,M,6-10,"['css', 'javascript', 'python', 'sql']",1906.1415881971714
full-time,3,,M,10+,['python'],2821.0895505318135
full-time,4,,M,6-10,"['java', 'javascript', 'kotlin']",3812.2831763943427
full-time,2,Universitario,M,3-5,"['javascript', 'typescript']",724.3338035149251
full-time,1,,M,3-5,"['css', 'html', 'javascript', 'php', 'sql']",2134.878578780832
full-time,2,Universitario,M,1-2,"['python', 'sql']",518.4705119896306
full-time,2,Universitario,M,10+,"['bash/shell', 'javascript', 'php', 'sql']",1219.9306164461896
full-time,1,,M,6-10,"['css', 'html', 'java', 'javascript', 'sql']",1448.6676070298502
full-time,2,,M,0-1,['python'],304.9826541115474
full-time,3,,M,6-10,"['bash/shell', 'python']",2211.1242423087187
full-time,3,,M,1-2,"['.net', 'html', 'python']",762.4566352788685
full-time,3,,M,1-2,"['python', 'sql']",1258.053448210133
full-time,2,,M,1-2,"['.net', 'c#']",571.8424764591514
full-time,2,,M,10+,"['java', 'typescript']",1753.6502611413976
full-time,1,Universitario,M,3-5,"['java', 'javascript', 'python', 'sql']",905.4172543936563
full-time,2,,M,1-2,['javascript'],953.0707940985857
full-time,3,,M,1-2,"['css', 'html', 'java', 'javascript', 'typescript']",648.0881399870382
full-time,1,,M,10+,"['c++', 'html', 'php', 'sql']",381.22831763943424
full-time,4,Maestría,M,10+,"['bash/shell', 'python']",1784.1485265525523
full-time,4,Terciario,M,1-2,"['css', 'html', 'javascript']",4130.99004994091
full-time,4,,M,3-5,"['python', 'sql']",3049.826541115474
full-time,2,,M,3-5,"['html', 'javascript']",827.2654492775723
full-time,1,,M,1-2,['html'],388.8528839922229
full-time,3,Universitario,M,10+,"['javascript', 'sql', 'typescript']",2287.3699058366055
full-time,1,Universitario,M,0-1,['sql'],697.6478212801646
full-time,3,Maestría,M,3-5,"['bash/shell', 'go', 'python', 'r', 'sql']",3791.9141473828677
full-time,2,Universitario,M,1-2,"['java', 'javascript', 'sql', 'typescript']",1142.160039647745
full-time,2,Universitario,M,10+,"['bash/shell', 'python']",1029.3164576264726
full-time,1,Universitario,M,10+,"['bash/shell', 'powershell']",1372.4219435019634
full-time,2,,M,6-10,"['python', 'sql']",1906.1415881971714
full-time,2,,M,10+,['javascript'],1090.3129884487819
full-time,4,,M,3-5,['java'],1906.1415881971714
full-time,1,,M,6-10,"['html', 'javascript', 'php']",686.2109717509817
full-time,3,Universitario,M,3-5,"['.net', 'c#', 'css', 'html', 'javascript']",889.8288284853799
full-time,1,Terciario,M,10+,"['python', 'sql']",1219.9306164461896
full-time,3,Universitario,M,6-10,"['.net', 'html', 'javascript', 'ruby', 'sql', 'typescript']",5337.19644695208
full-time,2,Terciario,M,3-5,['sql'],1258.053448210133
full-time,3,,M,6-10,['cobol'],857.7637146887271
full-time,1,Universitario,M,10+,"['bash/shell', 'java', 'php', 'sql']",1204.6814837406123
full-time,1,,M,1-2,"['css', 'html', 'javascript']",552.7810605771797
full-time,3,,M,1-2,"['css', 'javascript', 'sql']",762.4566352788685
full-time,4,Terciario,M,10+,"['.net', 'python', 'sql']",1742.2134116122145
full-time,4,,M,6-10,"['bash/shell', 'javascript']",953.0707940985857
full-time,2,,M,10+,"['bash/shell', 'sql']",1048.3778735084443
full-time,3,Universitario,M,10+,['java'],1936.6398536083261
full-time,2,Maestría,M,3-5,['python'],953.0707940985857
full-time,2,Universitario,M,0-1,['sql'],343.10548587549084
full-time,2,,M,6-10,"['arduino', 'bash/shell', 'java']",1639.2817658495674
full-time,3,Secundario,M,3-5,"['bash/shell', 'javascript', 'python', 'ruby']",1029.3164576264726
full-time,2,Secundario,M,6-10,"['bash/shell', 'javascript', 'python']",1810.8345087873126
full-time,3,Universitario,M,1-2,"['css', 'html', 'java', 'javascript', 'python', 'sql', 'vba']",1296.1762799740764
full-time,2,Universitario,M,1-2,"['html', 'javascript', 'typescript']",899.6988296290648
full-time,3,Universitario,M,1-2,"['smalltalk', 'sql']",492.62323205367693
full-time,3,Universitario,M,6-10,['bash/shell'],1194.864854561397
full-time,3,,M,0-1,"['java', 'sql']",476.53539704929284
full-time,2,Universitario,M,10+,"['bash/shell', 'html', 'java', 'php']",1212.306050093401
full-time,3,,M,3-5,['java'],1219.9306164461896
full-time,3,,M,10+,"['bash/shell', 'python']",1601.158934085624
full-time,2,Universitario,M,3-5,"['go', 'python', 'typescript']",1189.4323510350348
full-time,1,Universitario,M,3-5,['python'],800.579467042812
full-time,2,,M,1-2,['java'],762.4566352788685
full-time,3,Universitario,M,10+,"['bash/shell', 'powershell']",1296.1762799740764
full-time,3,,M,3-5,"['javascript', 'typescript']",457.4739811673211
full-time,2,,M,1-2,"['javascript', 'php']",609.9653082230948
full-time,2,,M,6-10,['bash/shell'],518.4705119896306
full-time,2,Universitario,M,6-10,"['.net', 'bash/shell', 'c++', 'c#', 'java', 'sql']",2096.7557470168886
full-time,3,Universitario,M,10+,"['go', 'javascript', 'typescript']",2668.59822347604
full-time,2,Universitario,M,10+,"['html', 'java', 'sql', 'typescript']",956.88307727498
full-time,2,,M,10+,"['bash/shell', 'php']",857.7637146887271
full-time,2,Universitario,M,3-5,"['go', 'java', 'javascript']",1231.3674659753726
full-time,3,Universitario,M,1-2,"['python', 'sql']",1139.8726697419083
full-time,1,,M,10+,['bash/shell'],457.4739811673211
full-time,2,,M,3-5,"['java', 'typescript']",2104.380313369677
full-time,1,,M,1-2,"['css', 'html', 'php', 'sql']",365.97918493385686
full-time,4,,M,6-10,"['.net', 'c#', 'html', 'sql', 'typescript']",1845.1450573748618
full-time,2,Universitario,M,0-1,['python'],930.1970950402196
full-time,2,Universitario,M,1-2,"['java', 'javascript', 'sql']",522.2827951660249
full-time,4,,M,10+,['python'],3621.6690175746253
full-time,3,Universitario,M,10+,"['bash/shell', 'perl', 'php', 'python', 'sql']",1882.0343105485874
full-time,3,Universitario,M,3-5,"['bash/shell', 'go', 'javascript', 'python', 'sql']",629.0267241050665
full-time,3,,M,3-5,"['elixir', 'erlang', 'python']",991.1936258625291
full-time,1,Universitario,M,1-2,"['bash/shell', 'python']",659.4029964545766
full-time,3,Universitario,M,3-5,['sql'],1033.1287408028668
full-time,3,Universitario,M,1-2,"['java', 'javascript', 'sql']",1822.2713583164957
full-time,2,,M,6-10,['javascript'],1334.29911173802
full-time,2,Posgrado/Especialización,M,10+,"['bash/shell', 'java', 'php', 'sql']",2020.5100834890015
full-time,3,Universitario,M,1-2,['swift'],419.4045213678472
full-time,1,,M,6-10,['python'],1334.29911173802
full-time,2,Universitario,M,10+,['python'],3812.2831763943427
full-time,2,,M,1-2,"['assembler', 'bash/shell', 'c', 'c++', 'javascript', 'python']",838.7022988067554
full-time,3,Secundario,M,1-2,['typescript'],762.4566352788685
full-time,3,,M,0-1,"['bash/shell', 'python', 'scala']",609.9653082230948
full-time,1,,M,10+,"['css', 'html', 'java', 'javascript', 'sql']",1679.9588273416948
full-time,3,Universitario,M,1-2,"['.net', 'c#', 'html', 'javascript', 'sql']",734.3982311006062
full-time,3,,M,1-2,"['css', 'html', 'javascript', 'typescript']",878.7770195570126
full-time,2,,M,1-2,['python'],1143.6849529183028
full-time,3,,M,6-10,"['html', 'javascript', 'sql']",3240.4406999351913
full-time,3,Universitario,M,3-5,"['.net', 'bash/shell', 'c#', 'javascript', 'sql']",2348.366436658915
full-time,3,Universitario,M,1-2,"['css', 'html', 'javascript', 'typescript']",953.0707940985857
full-time,2,,M,10+,"['c#', 'sql']",880.6374137470931
full-time,3,,M,6-10,"['css', 'html', 'javascript', 'typescript']",934.4859136136632
full-time,3,,M,10+,"['.net', 'python', 'sql']",1868.0187564332277
full-time,3,,M,1-2,"['java', 'javascript', 'typescript']",762.4566352788685
full-time,3,Universitario,M,1-2,['sql'],648.0881399870382
full-time,3,,M,10+,"['.net', 'html', 'javascript', 'sql']",724.3338035149251
full-time,2,Maestría,M,6-10,"['python', 'sql', 'vba']",1505.8518546757653
full-time,2,,M,10+,"['css', 'html', 'javascript', 'typescript']",1906.1415881971714
full-time,2,,M,10+,"['.net', 'arduino', 'c', 'c++', 'c#', 'python', 'sql']",1181.8077846822462
full-time,2,Universitario,M,0-1,"['java', 'javascript', 'sql']",425.06957416796917
full-time,2,,M,3-5,"['bash/shell', 'python']",1532.5378369105258
full-time,1,Maestría,M,10+,"['bash/shell', 'groovy', 'sql', 'sas']",838.7022988067554
full-time,3,,M,3-5,['bash/shell'],1137.9709122793643
full-time,3,Maestría,M,3-5,"['python', 'r', 'sql']",1906.1415881971714
full-time,1,Universitario,M,3-5,"['java', 'javascript', 'sql', 'typescript']",667.14955586901
full-time,4,,M,0-1,['python'],430.7879989325607
full-time,3,,M,3-5,['c#'],762.4566352788685
full-time,2,Universitario,M,10+,['python'],1448.6676070298502
full-time,3,,M,3-5,"['bash/shell', 'python']",632.9724371926346
full-time,2,,M,6-10,['sql'],724.3338035149251
full-time,3,Universitario,M,6-10,"['bash/shell', 'css', 'html', 'javascript', 'php', 'r', 'sql']",1813.7928405321948
full-time,2,,M,1-2,"['python', 'sql']",787.2364759254317
full-time,2,Universitario,M,0-1,['java'],484.15996340208153
full-time,3,,M,6-10,"['.net', 'c#', 'html', 'javascript']",2211.1242423087187
full-time,3,,M,0-1,"['html', 'java', 'javascript', 'python']",571.8424764591514
full-time,2,Terciario,M,6-10,['python'],1067.439289390416
full-time,3,,M,1-2,"['css', 'html', 'java', 'php']",442.22484846174376
full-time,2,,M,10+,"['.net', 'bash/shell', 'c', 'c#', 'html', 'java', 'php', 'sql']",2351.6221264915557
full-time,2,,M,10+,['java'],1334.29911173802
full-time,3,,M,3-5,"['java', 'sql']",686.2109717509817
full-time,3,Universitario,M,1-2,"['javascript', 'smalltalk']",1143.6849529183028
full-time,3,,M,6-10,"['html', 'java', 'javascript', 'python', 'sql', 'typescript']",1353.3605276199917
full-time,3,Universitario,M,0-1,['javascript'],571.8424764591514
full-time,3,,M,3-5,"['go', 'groovy', 'java', 'python']",1791.773092905341
full-time,2,,M,3-5,"['css', 'html', 'javascript', 'sql', 'typescript']",487.97224657847585
full-time,3,,M,6-10,"['html', 'matlab', 'php', 'python', 'sql']",1384.4115740917234
full-time,1,,M,1-2,"['css', 'html', 'javascript', 'php', 'sql', 'typescript']",609.9653082230948
full-time,3,Terciario,M,6-10,"['css', 'html', 'javascript', 'php', 'python', 'sql', 'typescript']",2058.632915252945
full-time,2,,M,0-1,['sql'],416.3013228622622
full-time,3,,M,3-5,"['javascript', 'typescript']",1219.9306164461896
full-time,1,Posgrado/Especialización,M,6-10,['python'],1258.053448210133
full-time,2,,M,6-10,"['bash/shell', 'css', 'html', 'javascript']",1334.29911173802
full-time,1,Universitario,M,0-1,"['html', 'java', 'javascript']",1563.0361023216803
full-time,3,Universitario,M,0-1,"['javascript', 'typescript']",552.7810605771797
full-time,3,,M,10+,"['.net', 'c#', 'css', 'html', 'java', 'javascript', 'sql', 'vba']",1345.7359612672028
full-time,2,Universitario,M,1-2,"['.net', 'c#', 'python']",960.6953604513743
full-time,2,Universitario,M,1-2,"['css', 'html', 'java', 'sql', 'typescript']",476.53539704929284
full-time,3,Universitario,M,1-2,"['css', 'kotlin', 'python', 'typescript']",983.5690595097403
full-time,2,Universitario,M,6-10,"['bash/shell', 'groovy', 'python']",838.7022988067554
full-time,3,Universitario,M,3-5,['java'],1067.439289390416
full-time,1,,M,1-2,['sql'],560.4056269299683
full-time,3,Universitario,M,10+,"['java', 'kotlin']",1749.8379779650031
full-time,3,,M,1-2,"['.net', 'c#', 'css', 'html', 'javascript', 'sql']",609.9653082230948
full-time,3,,M,10+,"['bash/shell', 'sql']",1791.773092905341
full-time,2,Universitario,M,1-2,['bash/shell'],857.7637146887271
full-time,3,Universitario,M,1-2,['sql'],396.4774503450116
full-time,2,Universitario,M,10+,"['.net', 'html', 'php']",1753.6502611413976
full-time,4,,M,3-5,['sql'],762.4566352788685
full-time,3,Doctorado,M,1-2,"['go', 'python', 'sql']",1888.9672524875148
full-time,3,Terciario,M,6-10,"['css', 'html', 'javascript', 'php', 'typescript']",519.9658800655712
full-time,2,Universitario,M,6-10,"['.net', 'bash/shell', 'c#', 'java', 'javascript', 'php', 'python', 'sql', 'typescript']",1296.1762799740764
full-time,2,,M,1-2,"['.net', 'c#', 'html', 'javascript', 'sql']",1067.439289390416
full-time,3,Secundario,M,6-10,"['css', 'html', 'javascript', 'php', 'ruby', 'sql']",1376.9170065952499
full-time,4,,M,0-1,"['javascript', 'python', 'typescript']",659.5249895162212
full-time,3,,M,10+,"['bash/shell', 'javascript', 'perl', 'python', 'sql']",2024.322366665396
full-time,2,,M,0-1,"['bash/shell', 'javascript', 'python', 'sql']",438.4125652853494
full-time,3,Posgrado/Especialización,M,10+,"['.net', 'assembler', 'c', 'c++', 'c#', 'cobol', 'css', 'go', 'groovy', 'html', 'javascript', 'kotlin', 'php', 'python', 'r', 'scala', 'sql', 'typescript', 'vba', 'scala']",2477.9840646563225
full-time,1,Universitario,M,3-5,"['bash/shell', 'go', 'python']",1137.2040715184323
full-time,4,,M,3-5,"['css', 'html', 'typescript']",1238.9920323281613
full-time,3,,M,3-5,"['java', 'javascript', 'php', 'python', 'sql', 'typescript']",1715.5274293774542
full-time,3,,M,6-10,"['.net', 'c#', 'html', 'sql', 'typescript']",1570.6606686744692
full-time,2,,M,3-5,"['javascript', 'typescript']",781.5180511608402
full-time,2,,M,1-2,['python'],1334.29911173802
full-time,3,Doctorado,M,1-2,"['bash/shell', 'python']",1162.7463688002745
full-time,3,Universitario,M,6-10,"['css', 'html', 'javascript', 'typescript']",1566.8483854980748
full-time,4,Secundario,M,3-5,"['javascript', 'typescript']",3316.686363463078
full-time,2,Terciario,M,1-2,"['python', 'sql']",964.5076436277686
full-time,3,,M,1-2,"['html', 'javascript', 'sql', 'typescript']",1281.2473790553163
full-time,3,Universitario,M,1-2,['kotlin'],1604.9712172620182
full-time,2,Universitario,M,1-2,"['bash/shell', 'python', 'sql', 'vba', 'sas']",501.31523769585607
full-time,4,,M,10+,"['python', 'sql']",1574.0002287369905
full-time,3,Posgrado/Especialización,M,6-10,"['.net', 'bash/shell', 'c#', 'css', 'html', 'javascript', 'python', 'sql']",1467.7290229118219
full-time,2,,M,10+,"['python', 'r']",2477.9840646563225
full-time,3,Terciario,M,10+,['java'],781.5180511608402
full-time,3,,M,6-10,"['bash/shell', 'python']",1906.1415881971714
full-time,2,Secundario,M,10+,['html'],304.9826541115474
full-time,3,,M,10+,"['abap', 'c', 'c++', 'sql', 'vba']",1791.773092905341
full-time,3,Terciario,M,0-1,['typescript'],381.22831763943424
full-time,3,,M,1-2,['ruby'],1601.158934085624
full-time,4,Secundario,M,3-5,"['css', 'html', 'javascript', 'python', 'sql']",1833.5023445541535
full-time,3,,M,10+,"['bash/shell', 'go', 'javascript', 'python', 'sql']",1970.950402195875
full-time,2,,M,6-10,['sql'],1277.1148640921047
full-time,2,Universitario,M,3-5,"['.net', 'c#', 'css', 'html', 'javascript', 'python', 'sql', 'typescript']",876.8251305706988
full-time,4,,M,3-5,"['javascript', 'php', 'python']",2402.475734817582
full-time,3,Universitario,M,3-5,"['bash/shell', 'javascript', 'python', 'sql']",720.5215203385308
full-time,3,,M,1-2,"['.net', 'html', 'javascript', 'sql']",1124.623537036331
full-time,2,,M,6-10,"['python', 'sql']",1524.913270557737
full-time,3,Universitario,M,3-5,"['bash/shell', 'sql']",2716.251763180969
full-time,2,Universitario,M,1-2,"['java', 'javascript', 'typescript']",533.719644695208
full-time,3,,M,6-10,"['python', 'sql']",2096.7557470168886
full-time,3,,M,3-5,"['html', 'javascript', 'typescript']",1410.5447752659068
full-time,2,Terciario,M,10+,"['bash/shell', 'c++', 'javascript', 'sql']",1235.179749151767
full-time,2,,M,3-5,"['.net', 'c#', 'sql']",1143.6849529183028
full-time,3,Universitario,M,10+,"['python', 'sql']",5718.424764591514
